# Radial distribution function (200 data points):
# "Pair separation distance" Zn3+2-Zn3+2 Zn3+2-O_R "Zn3+2-C in CO2" O_R-O_R "O_R-C in CO2" "C in CO2-C in CO2"
0.025 0.0 0.0 0.0 0.0 0.0 0.0 
0.075 0.0 0.0 0.0 0.0 0.0 0.0 
0.125 0.0 0.0 0.0 0.0 0.0 0.0 
0.175 0.0 0.0 0.0 0.0 0.0 0.0 
0.225 0.0 0.0 0.0 0.0 0.0 0.0 
0.275 0.0 0.0 0.0 0.0 0.0 0.0 
0.325 0.0 0.0 0.0 0.0 0.0 0.0 
0.375 0.0 0.0 0.0 0.0 0.0 0.0 
0.425 0.0 0.0 0.0 0.0 0.0 0.0 
0.475 0.0 0.0 0.0 0.0 0.0 0.0 
0.525 0.0 0.0 0.0 0.0 0.0 0.0 
0.575 0.0 0.0 0.0 0.0 0.0 0.0 
0.625 0.0 0.0 0.0 0.0 0.0 0.0 
0.675 0.0 0.0 0.0 0.0 0.0 0.0 
0.725 0.0 0.0 0.0 0.0 0.0 0.0 
0.775 0.0 0.0 0.0 0.0 0.0 0.0 
0.825 0.0 0.0 0.0 0.0 0.0 0.0 
0.875 0.0 0.0 0.0 0.0 0.0 0.0 
0.925 0.0 0.0 0.0 0.0 0.0 0.0 
0.975 0.0 0.0 0.0 0.0 0.0 0.0 
1.025 0.0 0.0 0.0 0.0 0.0 0.0 
1.075 0.0 0.0 0.0 0.0 0.0 0.0 
1.125 0.0 0.0 0.0 0.0 0.0 0.0 
1.175 0.0 0.0 0.0 0.0 0.0 0.0 
1.225 0.0 0.0 0.0 0.0 0.0 0.0 
1.275 0.0 0.0 0.0 0.0 0.0 0.0 
1.325 0.0 0.0 0.0 0.0 0.0 0.0 
1.375 0.0 0.0 0.0 0.0 0.0 0.0 
1.425 0.0 0.0 0.0 0.0 0.0 0.0 
1.475 0.0 0.0 0.0 0.0 0.0 0.0 
1.525 0.0 0.0 0.0 0.0 0.0 0.0 
1.575 0.0 0.0 0.0 0.0 0.0 0.0 
1.625 0.0 0.0 0.0 0.0 0.0 0.0 
1.675 0.0 0.0 0.0 0.0 0.0 0.0 
1.725 0.0 12.2817715274 0.0 0.0 0.0 0.0 
1.775 0.0 17.399447021 0.0 0.0 0.0 0.0 
1.825 0.0 27.4319527922 0.0 0.0 0.0 0.0 
1.875 0.0 72.7678224388 0.0 0.0 0.0 0.0 
1.925 0.0 54.2433401581 0.0 0.0 0.0 0.0 
1.975 0.0 51.5317525493 0.0 0.0 0.0 0.0 
2.025 0.0 8.9124580622 0.0 0.0 0.0 0.0 
2.075 0.0 0.0 0.0 0.0 0.0 0.0 
2.125 0.0 0.0 0.0 0.0 0.0 0.0 
2.175 0.0 0.0 0.0 0.0 0.0 0.0 
2.225 0.0 0.0 0.0 0.0 0.0 0.0 
2.275 0.0 0.0 0.0 12.9458559375 0.0 0.0 
2.325 0.0 0.0 0.0 27.0437528128 0.0 0.0 
2.375 0.0 0.0 0.0 12.9585481236 0.0 0.0 
2.425 0.0 0.0 0.0 1.0358085618 0.0 0.0 
2.475 0.0 0.0 0.0 0.0 0.0 0.0 
2.525 0.0 0.0 0.0 0.0 0.0 0.0 
2.575 0.0 0.0 0.0 0.0 0.2519726738 0.0 
2.625 0.0 0.0 0.0 0.0 0.7273962628 0.0 
